Estado,População Censo 2022,População Censo 2010
São Paulo,44.411.238,41.262.199
Minas Gerais,20.538.718,19.597.330
Rio de Janeiro,16.054.524,15.989.929
Bahia,14.141.626,14.016.906
Paraná,11.444.380,10.444.526
Rio Grande do Sul,10.882.965,10.693.929
Pernambuco,9.058.931,8.796.448
Ceará,8.794.957,8.452.381
Pará,8.121.025,7.581.051
Santa Catarina,7.610.361,6.248.436
Goiás,7.056.495,6.003.788
Maranhão,6.775.805,6.574.789
Paraíba,3.974.687,3.766.528
Amazonas,3.941.613,3.483.985
Espírito Santo,3.833.712,3.514.952
Mato Grosso,3.658.649,3.035.122
Rio Grande do Norte,3.302.729,3.168.027
Piauí,3.271.199,3.118.360
Alagoas,3.127.683,3.120.494
Distrito Federal,2.817.381,2.570.160
Mato Grosso do Sul,2.757.013,2.449.024
Sergipe,2.209.558,2.068.017
Rondônia,1.581.196,1.562.409
Tocantins,1.511.460,1.383.445
Acre,830.018,733.559
Amapá,733.759,669.526
Roraima,636.707,450.479
